wety
Ctrl+W

q

Ctrl+W
Ctrl+W
RIGHTCTL
RIGHTCTL+W
RIGHTCTL W
RIGHTCTL W
RIGHTCTL W
RIGHTCTL W
RIGHTCTL W
RIGHTCTRL W
RIGHTCTRL
RIGHTCTRL
RIGHTCTRL
RIGHTCTRL W
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
1:RIGHTCTRL 2:W 3: 4:
DATE_WITH_TIME 1:RIGHTCTRL 2:W 3: 4:
2018.12.04 11:44:56 1:RIGHTCTRL 2:W 3: 4:
2018.12.04 11:45:36 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.04 12:26:14 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.04 12:26:31 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 12:52:20 VAL1=SUPER VAL2= VAL3= VAL4=
2018.12.06 12:52:29 VAL1=WIN VAL2= VAL3= VAL4=
2018.12.06 12:52:37 VAL1=LEFTSUPER VAL2= VAL3= VAL4=
2018.12.06 12:57:03 VAL1=CTRL VAL2=W VAL3= VAL4=
2018.12.06 12:57:14 VAL1=LEFTCTRL VAL2=W VAL3= VAL4=
2018.12.06 12:59:55 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 13:00:33 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 13:00:38 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 13:01:01 VAL1=SUPER VAL2= VAL3= VAL4=
2018.12.06 13:01:08 VAL1=LEFTSUPER VAL2= VAL3= VAL4=
2018.12.06 13:01:15 VAL1=LSUPER VAL2= VAL3= VAL4=
2018.12.06 13:01:27 VAL1=WIN VAL2= VAL3= VAL4=
2018.12.06 13:01:32 VAL1=WINDOWS VAL2= VAL3= VAL4=
2018.12.06 13:01:38 VAL1=LEFTWINDOWS VAL2= VAL3= VAL4=
2018.12.06 13:05:57 VAL1=KP_Subtract VAL2= VAL3= VAL4=
2018.12.06 13:06:11 VAL1=KPSubtract VAL2= VAL3= VAL4=
2018.12.06 13:29:22 VAL1=SUPER VAL2= VAL3= VAL4=
2018.12.06 13:31:22 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:33:23 VAL1=END VAL2= VAL3= VAL4=
2018.12.06 13:33:50 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:33:51 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:33:52 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:33:52 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:33:53 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:33:54 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:33:54 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:33:54 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:33:55 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:33:55 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:33:56 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:33:56 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:33:57 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:33:57 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:33:58 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:33:59 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:33:59 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:34:00 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:34:00 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:34:01 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:34:01 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:34:01 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:34:03 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:34:03 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:34:04 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:34:06 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:34:07 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:34:08 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:34:08 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:34:09 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:34:10 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:34:11 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:34:11 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:34:11 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:34:15 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:34:16 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:34:32 VAL1=RIGHTCTRL VAL2=END VAL3= VAL4=
2018.12.06 13:34:35 VAL1=RIGHTCTRL VAL2=END VAL3= VAL4=
2018.12.06 13:34:36 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:34:37 VAL1=RIGHTCTRL VAL2=PAGEDOWN VAL3= VAL4=
2018.12.06 13:34:38 VAL1=RIGHTCTRL VAL2=PAGEUP VAL3= VAL4=
2018.12.06 13:34:39 VAL1=PAGEDOWN VAL2= VAL3= VAL4=
2018.12.06 13:34:40 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:34:41 VAL1=PAGEUP VAL2= VAL3= VAL4=
2018.12.06 13:49:30 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 13:49:37 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 13:54:32 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:54:34 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:54:35 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:54:36 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:54:37 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:54:38 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:54:52 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:54:53 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:54:54 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:54:55 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:54:59 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:55:02 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:55:04 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:55:05 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:55:06 VAL1=RIGHTCTRL VAL2=HOME VAL3= VAL4=
2018.12.06 13:55:38 VAL1=HOME VAL2= VAL3= VAL4=
2018.12.06 13:55:39 VAL1=HOME VAL2= VAL3= VAL4=
2018.12.06 13:55:47 VAL1=HOME VAL2= VAL3= VAL4=
2018.12.06 13:55:47 VAL1=HOME VAL2= VAL3= VAL4=
2018.12.06 13:55:51 VAL1=HOME VAL2= VAL3= VAL4=
2018.12.06 13:55:53 VAL1=HOME VAL2= VAL3= VAL4=
2018.12.06 13:58:36 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 14:07:34 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 15:01:13 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 16:29:26 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 16:29:30 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 16:34:51 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 16:34:55 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 18:31:14 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 18:34:30 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 19:21:32 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
2018.12.06 19:23:59 VAL1=RIGHTCTRL VAL2=W VAL3= VAL4=
